years,winners,losers,games
1997,Chicago Bulls,Utah Jazz,6
1998,Chicago Bulls,Utah Jazz,6
1999,San Antonio Spurs,New York Knicks,5
2000,Los Angeles Lakers,Indiana Pacers,6
2001,Los Angeles Lakers,Philadelphia 76ers,5
2002,Los Angeles Lakers,New Jersey Nets,4
2003,San Antonio Spurs,New Jersey Nets,6
2004,Detroit Pistons,Los Angeles Lakers,5
2005,San Antonio Spurs,Detroit Pistons,7
2006,Miami Heat,Dallas Mavericks,6
2007,San Antonio Spurs,Cleveland Cavaliers,4
2008,Boston Celtics,Los Angeles Lakers,6
2009,Los Angeles Lakers,Orlando Magic,5
2010,Los Angeles Lakers,Boston Celtics,7
2011,Dallas Mavericks,Miami Heat,6
2012,Miami Heat,Oklahoma City Thunder,5
2013,Miami Heat,San Antonio Spurs,7
2014,San Antonio Spurs,Miami Heat,5
2015,Golden State Warriors,Cleveland Cavaliers,6
2016,Cleveland Cavaliers,Golden State Warriors,7
